Cycle,Instr,Op,Fct3,Rd,Rs1,Rs2,RegWrite,ALUSrc,FwdA,FwdB,MemRd,MemWr,WBSel,bne
0,"lw x7, 0(x10)",lw,010,x7,0(x10),,1,1,*,*,1,0,1,
1,"lw x6, 0(x7)",lw,010,x6,0(x7),,1,1,*,*,1,0,1,
2,"lw x8, 4(x7)",lw,010,x8,4(x7),,1,1,*,*,1,0,1,
3,"lw x9, 8(x7)",lw,010,x9,8(x7),,1,1,*,*,1,0,1,
4,"addi x6, x6, 1",addi,000,x6,x6,1,1,1,*,*,0,0,0,
5,"addi x8, x8, 1",addi,000,x8,x8,1,1,1,*,*,0,0,0,
6,"addi x9, x9, 1",addi,000,x9,x9,1,1,1,*,*,0,0,0,
7,"sw x6, 0(x7)",sw,010,x6,0(x7),,0,1,*,*,0,1,0,
8,"sw x8, 4(x7)",sw,010,x8,4(x7),,0,1,*,*,0,1,0,
9,"sw x9, 8(x7)",sw,010,x9,8(x7),,0,1,*,*,0,1,0,
